"Bill_id","History_date","History_description","History_refid"
"HB4","02/04/16","S Constitutional reading dispensed",""
"HB4","02/04/16","S Referred to Committee on Privileges and Elections",""
"HB4","02/09/16","S Reported from Privileges and Elections (7-Y 6-N)","S08V0066"
"HB4","02/11/16","S Constitutional reading dispensed (39-Y 0-N)","SV0330"
"HB4","02/12/16","S Passed by for the day",""
"HB4","02/15/16","S Read third time",""
"HB4","02/15/16","S Passed by temporarily",""
"HB4","02/15/16","S Passed Senate (21-Y 19-N)","SV0399"
"HB4","02/16/16","H Enrolled",""
"HB4","02/16/16","H Bill text as passed House and Senate (HB4ER)",""
"HB4","02/16/16","H Impact statement from DPB (HB4ER)",""
"HB4","02/16/16","H Signed by Speaker",""
"HB4","02/16/16","S Signed by President",""
"HB4","02/17/16","H Enrolled Bill communicated to Governor on 2/17/16",""
"HB4","02/17/16","G Governor's Action Deadline Midnight, Wednesday, February 24, 2016",""
"HB4","02/24/16","G Approved by Governor-Chapter 12 (effective - see bill)",""
"HB4","02/24/16","G Acts of Assembly Chapter text (CHAP0012)",""
"HB5","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100193D",""
"HB5","11/16/15","H Referred to Committee for Courts of Justice",""
"HB5","02/04/16","H Assigned Courts sub: Constitutional Law",""
"HB5","02/08/16","H Subcommittee recommends laying on the table","H0807V0007"
"HB5","02/16/16","H Left in Courts of Justice","H08V0235"
"HB6","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100265D",""
"HB6","11/16/15","H Referred to Committee on Privileges and Elections",""
"HB6","01/14/16","H Assigned P & E sub:",""
"HB6","01/19/16","H Impact statement from DPB (HB6)",""
"HB6","02/04/16","H Subcommittee recommends continuing to 2017","H1802V0009"
"HB6","02/05/16","H Continued to 2017 in Privileges and Elections","H18V0018"
"HB7","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100195D",""
"HB7","11/16/15","H Referred to Committee on Commerce and Labor",""
"HB7","01/18/16","H Impact statement from DPB (HB7)",""
"HB7","01/19/16","H Assigned C & L sub: Subcommittee #1",""
"HB7","01/26/16","H Subcommittee recommends laying on the table","H1401V0008"
"HB7","02/16/16","H Left in Commerce and Labor","H14V0091"
"HB8","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100606D",""
"HB8","11/16/15","H Referred to Committee on Education",""
"HB8","11/16/15","H Introduced bill reprinted 16100606D",""
"HB8","01/20/16","H Reported from Education with amendments (14-Y 7-N)","H09V0001"
"HB8","01/20/16","H Referred to Committee on Appropriations",""
"HB8","01/25/16","H Assigned App. sub: Elementary & Secondary Education",""
"HB8","02/04/16","H Impact statement from DOE/COO (HB8)",""
"HB8","02/11/16","H Subcommittee recommends reporting with amendment(s) (3-Y 2-N)","H0204V0009"
"HB8","02/12/16","H Reported from Appropriations with substitute (15-Y 6-N)","H02V0038"
"HB8","02/12/16","H Committee substitute printed 16104275D-H1",""
"HB8","02/13/16","H Read first time",""
"HB8","02/15/16","H Read second time",""
"HB8","02/15/16","H Committee amendments from Education rejected",""
"HB8","02/15/16","H Committee substitute  from Appropriations agreed to 16104275D-H1",""
"HB8","02/15/16","H Engrossed by House - committee substitute HB8H1",""
"HB8","02/16/16","H Read third time and passed House (58-Y 40-N 1-A)",""
"HB8","02/16/16","H VOTE: PASSAGE (58-Y 40-N 1-A)","HV0651"
"HB8","02/17/16","S Constitutional reading dispensed",""
"HB8","02/17/16","S Referred to Committee on Education and Health",""
"HB8","02/25/16","S Reported from Education and Health (10-Y 5-N)","S04V0214"
"HB8","02/25/16","S Rereferred to Finance",""
"HB8","03/02/16","S Reported from Finance with amendments (10-Y 4-N)","S05V0253"
"HB8","03/03/16","S Constitutional reading dispensed (40-Y 0-N)","SV0841"
"HB8","03/03/16","S Passed by for the day",""
"HB8","03/04/16","S Read third time",""
"HB8","03/04/16","S Passed by for the day",""
"HB8","03/07/16","S Read third time",""
"HB8","03/07/16","S Reading of amendments waived",""
"HB8","03/07/16","S Committee amendments agreed to",""
"HB8","03/07/16","S Reading of amendments waived",""
"HB8","03/07/16","S Amendments by Senator Newman agreed to",""
"HB8","03/07/16","S Engrossed by Senate as amended",""
"HB8","03/07/16","S Passed Senate with amendments (23-Y 17-N)","SV0889"
"HB8","03/08/16","H Placed on Calendar",""
"HB8","03/08/16","H Senate amendments rejected by House (3-Y 94-N 2-A)",""
"HB8","03/08/16","H VOTE: REJECTED (3-Y 94-N 2-A)","HV1261"
"HB8","03/08/16","H Reconsideration of Senate amendments rejected by House",""
"HB8","03/08/16","H Senate amendments rejected by House (0-Y 97-N 1-A)",""
"HB8","03/08/16","H VOTE: REJECTED #2 (0-Y 97-N 1-A)","HV1265"
"HB8","03/08/16","H Impact statement from DPB (HB8H1)",""
"HB8","03/09/16","S Senate insisted on amendments (39-Y 1-N)","SV0963"
"HB8","03/09/16","S Senate requested conference committee",""
"HB8","03/10/16","H House acceded to request",""
"HB8","03/10/16","H Conferees appointed by House",""
"HB8","03/10/16","H Delegates: Bell, R.P., Landes, Plum",""
"HB8","03/10/16","S Conferees appointed by Senate",""
"HB8","03/10/16","S Senators: Carrico, Petersen, Chase",""
"HB8","03/11/16","C Amended by conference committee",""
"HB8","03/11/16","H Conference substitute printed 16106334D-H2",""
"HB8","03/11/16","S Conference report agreed to by Senate (23-Y 17-N)","SV1040"
"HB8","03/11/16","H Conference report agreed to by House (60-Y 36-N 1-A)",""
"HB8","03/11/16","H VOTE: ADOPTION (60-Y 36-N 1-A)","HV1355"
"HB8","03/25/16","H Enrolled",""
"HB8","03/25/16","H Bill text as passed House and Senate (HB8ER)",""
"HB8","03/25/16","H Signed by Speaker",""
"HB8","03/28/16","S Signed by President",""
"HB8","03/28/16","H Enrolled Bill communicated to Governor on 3/28/16",""
"HB8","03/28/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB8","03/30/16","H Impact statement from DPB (HB8ER)",""
"HB9","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100569D",""
"HB9","11/16/15","H Referred to Committee on Privileges and Elections",""
"HB9","01/14/16","H Assigned P & E sub:",""
"HB9","01/15/16","H Impact statement from DPB (HB9)",""
"HB9","02/02/16","H Subcommittee recommends reporting with amendment(s) (5-Y 2-N)","H1804V0021"
"HB9","02/05/16","H Reported from Privileges and Elections with amendments (14-Y 7-N)","H18V0014"
"HB9","02/08/16","H Read first time",""
"HB9","02/09/16","H Read second time",""
"HB9","02/09/16","H Committee amendments agreed to",""
"HB9","02/09/16","H Engrossed by House as amended HB9E",""
"HB9","02/09/16","H Printed as engrossed 16100569D-E",""
"HB9","02/10/16","H Read third time and passed House (64-Y 31-N)",""
"HB9","02/10/16","H VOTE: PASSAGE (64-Y 31-N)","HV0401"
"HB9","02/11/16","S Constitutional reading dispensed",""
"HB9","02/11/16","S Referred to Committee on Privileges and Elections",""
"HB9","02/23/16","S Reported from Privileges and Elections with amendments (7-Y 6-N)","S08V0082"
"HB9","02/25/16","S Constitutional reading dispensed (40-Y 0-N)","SV0636"
"HB9","02/26/16","S Read third time",""
"HB9","02/26/16","S Reading of amendments waived",""
"HB9","02/26/16","S Committee amendments agreed to",""
"HB9","02/26/16","S Engrossed by Senate as amended",""
"HB9","02/26/16","S Passed Senate with amendments (22-Y 18-N)","SV0664"
"HB9","02/29/16","H Placed on Calendar",""
"HB9","03/01/16","H Senate amendments agreed to by House (59-Y 33-N)",""
"HB9","03/01/16","H VOTE: ADOPTION (59-Y 33-N)","HV1069"
"HB9","03/02/16","H Enrolled",""
"HB9","03/02/16","H Bill text as passed House and Senate (HB9ER)",""
"HB9","03/02/16","H Impact statement from DPB (HB9ER)",""
"HB9","03/02/16","H Signed by Speaker",""
"HB9","03/05/16","S Signed by President",""
"HB9","03/07/16","H Enrolled Bill communicated to Governor on 3/7/16",""
"HB9","03/07/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB9","03/23/16","G Vetoed by Governor",""
"HB10","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100668D",""
"HB10","11/16/15","H Referred to Committee on Transportation",""
"HB10","01/15/16","H Assigned Transportation sub: Subcommittee #1",""
"HB10","01/29/16","H Subcommittee recommends reporting (6-Y 0-N)","H1901V0005"
"HB10","02/04/16","H Reported from Transportation (21-Y 0-N)","H19V0088"
"HB10","02/05/16","H Read first time",""
"HB10","02/08/16","H Read second time and engrossed",""
"HB10","02/09/16","H Read third time and passed House BLOCK VOTE (99-Y 0-N)",""
"HB10","02/09/16","H VOTE: BLOCK VOTE PASSAGE (99-Y 0-N)","HV0331"
"HB10","02/10/16","S Constitutional reading dispensed",""
"HB10","02/10/16","S Referred to Committee on Transportation",""
"HB10","02/17/16","S Reported from Transportation (13-Y 0-N)","S11V0071"
"HB10","02/19/16","S Constitutional reading dispensed (39-Y 0-N)","SV0514"
"HB10","02/22/16","S Read third time",""
"HB10","02/22/16","S Passed Senate (40-Y 0-N)","SV0524"
"HB10","02/24/16","H Enrolled",""
"HB10","02/24/16","H Bill text as passed House and Senate (HB10ER)",""
"HB10","02/24/16","H Signed by Speaker",""
"HB10","02/25/16","S Signed by President",""
"HB10","02/25/16","H Enrolled Bill communicated to Governor on 2/25/16",""
"HB10","02/25/16","G Governor's Action Deadline Midnight, March 3, 2016",""
"HB10","03/01/16","G Approved by Governor-Chapter 195 (effective 7/1/16)",""
"HB10","03/01/16","G Acts of Assembly Chapter text (CHAP0195)",""
"HB11","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100567D",""
"HB11","11/16/15","H Referred to Committee on Commerce and Labor",""
"HB11","01/18/16","H Impact statement from DPB (HB11)",""
"HB11","01/19/16","H Assigned C & L sub: Subcommittee #1",""
"HB11","02/16/16","H Left in Commerce and Labor","H14V0092"
"HB12","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100360D",""
"HB12","11/16/15","H Referred to Committee on Militia, Police and Public Safety",""
"HB12","01/18/16","H Assigned MPPS sub: #1",""
"HB12","01/18/16","H Impact statement from DPB (HB12)",""
"HB12","01/21/16","H Subcommittee recommends incorporating (HB1163-Webert)","H1501V0001"
"HB12","02/05/16","H Incorporated by Militia, Police and Public Safety (HB1163-Webert)","H15V0033"
"HB13","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100432D",""
"HB13","11/16/15","H Referred to Committee on Privileges and Elections",""
"HB13","01/14/16","H Assigned P & E sub:",""
"HB13","02/02/16","H Impact statement from DPB (HB13)",""
"HB13","02/04/16","H Subcommittee recommends laying on the table","H1802V0010"
"HB13","02/16/16","H Left in Privileges and Elections","H18V0031"
"HB14","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100439D",""
"HB14","11/16/15","H Referred to Committee on Counties, Cities and Towns",""
"HB14","01/18/16","H Assigned CC & T sub: Subcommittee #1",""
"HB14","01/20/16","H Subcommittee recommends reporting (9-Y 0-N)","H0701V0001"
"HB14","01/25/16","H Impact statement from DHCD (HB14)",""
"HB14","01/29/16","H Reported from Counties, Cities and Towns (21-Y 0-N)","H07V0002"
"HB14","02/01/16","H Read first time",""
"HB14","02/02/16","H Read second time and engrossed",""
"HB14","02/03/16","H Read third time and passed House BLOCK VOTE (97-Y 0-N)",""
"HB14","02/03/16","H VOTE: BLOCK VOTE PASSAGE (97-Y 0-N)","HV0223"
"HB14","02/04/16","S Constitutional reading dispensed",""
"HB14","02/04/16","S Referred to Committee on Local Government",""
"HB14","02/23/16","S Reported from Local Government (13-Y 0-N)","S07V0046"
"HB14","02/25/16","S Constitutional reading dispensed (40-Y 0-N)","SV0636"
"HB14","02/26/16","S Read third time",""
"HB14","02/26/16","S Passed Senate (39-Y 0-N)","SV0660"
"HB14","03/01/16","H Enrolled",""
"HB14","03/01/16","H Bill text as passed House and Senate (HB14ER)",""
"HB14","03/01/16","H Signed by Speaker",""
"HB14","03/04/16","S Signed by President",""
"HB14","03/07/16","H Enrolled Bill communicated to Governor on 3/7/2016",""
"HB14","03/07/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB14","03/07/16","G Approved by Governor-Chapter 310 (effective 7/1/16)",""
"HB14","03/07/16","G Acts of Assembly Chapter text (CHAP0310)",""
"HB15","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100460D",""
"HB15","11/16/15","H Referred to Committee on Finance",""
"HB15","01/18/16","H Reported from Finance (22-Y 0-N)","H10V0002"
"HB15","01/19/16","H Read first time",""
"HB15","01/20/16","H Read second time and engrossed",""
"HB15","01/21/16","H Read third time and passed House BLOCK VOTE (95-Y 0-N)",""
"HB15","01/21/16","H VOTE: BLOCK VOTE PASSAGE (95-Y 0-N)","HV0024"
"HB15","01/25/16","S Constitutional reading dispensed",""
"HB15","01/25/16","S Referred to Committee on Finance",""
"HB15","01/30/16","H Impact statement from TAX (HB15)",""
"HB15","02/24/16","S Reported from Finance (14-Y 0-N)","S05V0204"
"HB15","02/25/16","S Constitutional reading dispensed (40-Y 0-N)","SV0636"
"HB15","02/26/16","S Read third time",""
"HB15","02/26/16","S Passed Senate (39-Y 0-N)","SV0660"
"HB15","03/01/16","H Enrolled",""
"HB15","03/01/16","H Bill text as passed House and Senate (HB15ER)",""
"HB15","03/01/16","H Impact statement from TAX (HB15ER)",""
"HB15","03/01/16","H Signed by Speaker",""
"HB15","03/04/16","S Signed by President",""
"HB15","03/07/16","H Enrolled Bill communicated to Governor on 3/7/2016",""
"HB15","03/07/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB15","03/25/16","G Approved by Governor-Chapter 483 (effective 7/1/16)",""
"HB16","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100494D",""
"HB16","11/16/15","H Referred to Committee on Commerce and Labor",""
"HB16","01/21/16","H Impact statement from SCC (HB16)",""
"HB16","01/21/16","H Reported from Commerce and Labor with amendments (21-Y 0-N)","H14V0017"
"HB16","01/25/16","H Read first time",""
"HB16","01/26/16","H Read second time",""
"HB16","01/26/16","H Committee amendments agreed to",""
"HB16","01/26/16","H Engrossed by House as amended HB16E",""
"HB16","01/26/16","H Printed as engrossed 16100494D-E",""
"HB16","01/27/16","H Read third time and passed House BLOCK VOTE (99-Y 0-N)",""
"HB16","01/27/16","H VOTE: BLOCK VOTE PASSAGE (99-Y 0-N)","HV0071"
"HB16","01/28/16","S Constitutional reading dispensed",""
"HB16","01/28/16","S Referred to Committee on Commerce and Labor",""
"HB16","02/05/16","H Impact statement from SCC (HB16E)",""
"HB16","02/29/16","S Reported from Commerce and Labor (14-Y 0-N)","S02V0099"
"HB16","03/02/16","S Constitutional reading dispensed (40-Y 0-N)","SV0784"
"HB16","03/03/16","S Read third time",""
"HB16","03/03/16","S Passed Senate (39-Y 0-N)","SV0821"
"HB16","03/03/16","S Reconsideration of Senate passage agreed to by Senate (36-Y 0-N)","SV0822"
"HB16","03/03/16","S Passed Senate (40-Y 0-N)","SV0823"
"HB16","03/07/16","H Enrolled",""
"HB16","03/07/16","H Bill text as passed House and Senate (HB16ER)",""
"HB16","03/07/16","H Signed by Speaker",""
"HB16","03/08/16","H Impact statement from SCC (HB16ER)",""
"HB16","03/09/16","S Signed by President",""
"HB16","03/09/16","H Enrolled Bill communicated to Governor on 3/9/2016",""
"HB16","03/09/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB16","03/29/16","G Approved by Governor-Chapter 556 (effective 1/1/17)",""
"HB17","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100674D",""
"HB17","11/16/15","H Referred to Committee on Agriculture, Chesapeake and Natural Resources",""
"HB17","01/13/16","H Assigned ACNRsub: Chesapeake",""
"HB17","01/21/16","H Impact statement from DPB (HB17)",""
"HB17","01/28/16","H Subcommittee recommends laying on the table","H0103V0004"
"HB17","02/16/16","H Left in Agriculture, Chesapeake and Natural Resources","H01V0057"
"HB18","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100032D",""
"HB18","11/16/15","H Referred to Committee on Commerce and Labor",""
"HB18","01/12/16","H Impact statement from DPB (HB18)",""
"HB18","01/19/16","H Reported from Commerce and Labor (15-Y 6-N)","H14V0007"
"HB18","01/21/16","H Read first time",""
"HB18","01/25/16","H Passed by for the day",""
"HB18","01/26/16","H Read second time and engrossed",""
"HB18","01/27/16","H Read third time and passed House (64-Y 34-N)",""
"HB18","01/27/16","H VOTE: PASSAGE (64-Y 34-N)","HV0101"
"HB18","01/28/16","S Constitutional reading dispensed",""
"HB18","01/28/16","S Referred to Committee on Commerce and Labor",""
"HB18","02/22/16","S Reported from Commerce and Labor (12-Y 3-N)","S02V0082"
"HB18","02/24/16","S Constitutional reading dispensed (39-Y 0-N)","SV0597"
"HB18","02/25/16","S Read third time",""
"HB18","02/25/16","S Reading of amendment waived",""
"HB18","02/25/16","S Amendment by Senator Surovell agreed to",""
"HB18","02/25/16","S Engrossed by Senate as amended",""
"HB18","02/25/16","S Passed Senate with amendment (27-Y 12-N)","SV0620"
"HB18","02/26/16","H Placed on Calendar",""
"HB18","02/29/16","H Senate amendment agreed to by House (65-Y 34-N)",""
"HB18","02/29/16","H VOTE: ADOPTION (65-Y 34-N)","HV1038"
"HB18","03/01/16","H Enrolled",""
"HB18","03/01/16","H Bill text as passed House and Senate (HB18ER)",""
"HB18","03/01/16","H Signed by Speaker",""
"HB18","03/02/16","H Impact statement from DPB (HB18ER)",""
"HB18","03/04/16","S Signed by President",""
"HB18","03/11/16","H Enrolled Bill communicated to Governor on 3/11/16",""
"HB18","03/11/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB19","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100344D",""
"HB19","11/16/15","H Referred to Committee for Courts of Justice",""
"HB19","01/26/16","H Assigned Courts sub: Civil Law",""
"HB19","01/27/16","H Subcommittee recommends reporting with amendment(s) (7-Y 2-N)","H0802V0041"
"HB19","02/03/16","H Reported from Courts of Justice with amendments (18-Y 3-N)","H08V0082"
"HB19","02/05/16","H Read first time",""
"HB19","02/08/16","H Read second time",""
"HB19","02/08/16","H Committee amendments agreed to",""
"HB19","02/08/16","H Engrossed by House as amended HB19E",""
"HB19","02/08/16","H Printed as engrossed 16100344D-E",""
"HB19","02/09/16","H Read third time and passed House (86-Y 12-N 1-A)",""
"HB19","02/09/16","H VOTE: PASSAGE (86-Y 12-N 1-A)","HV0374"
"HB19","02/10/16","S Constitutional reading dispensed",""
"HB19","02/10/16","S Referred to Committee for Courts of Justice",""
"HB19","02/24/16","S Reported from Courts of Justice (8-Y 3-N)","S03V0298"
"HB19","02/26/16","S Constitutional reading dispensed (39-Y 0-N)","SV0676"
"HB19","02/29/16","S Read third time",""
"HB19","02/29/16","S Passed Senate (22-Y 16-N)","SV0699"
"HB19","03/02/16","H Enrolled",""
"HB19","03/02/16","H Bill text as passed House and Senate (HB19ER)",""
"HB19","03/02/16","H Signed by Speaker",""
"HB19","03/05/16","S Signed by President",""
"HB19","03/07/16","H Enrolled Bill communicated to Governor on 3/7/2016",""
"HB19","03/07/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB20","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100118D",""
"HB20","11/16/15","H Referred to Committee on Agriculture, Chesapeake and Natural Resources",""
"HB20","01/20/16","H Reported from Agriculture, Chesapeake and Natural Resources (22-Y 0-N)","H01V0001"
"HB20","01/21/16","H Read first time",""
"HB20","01/25/16","H Read second time and engrossed",""
"HB20","01/26/16","H Read third time and passed House (94-Y 4-N)",""
"HB20","01/26/16","H VOTE: PASSAGE (94-Y 4-N)","HV0059"
"HB20","01/27/16","S Constitutional reading dispensed",""
"HB20","01/27/16","S Referred to Committee on Agriculture, Conservation and Natural Resources",""
"HB20","01/30/16","H Impact statement from TAX (HB20)",""
"HB20","02/18/16","S Reported from Agriculture, Conservation and Natural Resources (13-Y 2-N)","S01V0052"
"HB20","02/22/16","S Constitutional reading dispensed (40-Y 0-N)","SV0551"
"HB20","02/23/16","S Read third time",""
"HB20","02/23/16","S Passed Senate (34-Y 5-N)","SV0562"
"HB20","02/24/16","H Enrolled",""
"HB20","02/24/16","H Bill text as passed House and Senate (HB20ER)",""
"HB20","02/24/16","H Signed by Speaker",""
"HB20","02/25/16","S Signed by President",""
"HB20","02/25/16","H Enrolled Bill communicated to Governor on 02/25/16",""
"HB20","02/25/16","G Governor's Action Deadline Midnight, March 3, 2016",""
"HB20","02/29/16","H Impact statement from TAX (HB20ER)",""
"HB20","03/01/16","G Approved by Governor-Chapter 165 (effective 7/1/16)",""
"HB20","03/01/16","G Acts of Assembly Chapter text (CHAP0165)",""
"HB21","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100463D",""
"HB21","11/16/15","H Referred to Committee on Finance",""
"HB21","01/15/16","H Impact statement from TAX (HB21)",""
"HB21","02/02/16","H Assigned Finance sub: Subcommittee #2",""
"HB21","02/03/16","H Subcommittee recommends laying on the table","H1002V0021"
"HB21","02/17/16","H Left in Finance","H10V0102"
"HB22","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100187D",""
"HB22","11/16/15","H Referred to Committee on Finance",""
"HB22","01/15/16","H Assigned Finance sub: Subcommittee #1",""
"HB22","01/20/16","H Subcommittee recommends reporting (9-Y 1-N)","H1001V0001"
"HB22","02/01/16","H Reported from Finance (15-Y 7-N)","H10V0037"
"HB22","02/02/16","H Read first time",""
"HB22","02/03/16","H Read second time and engrossed",""
"HB22","02/04/16","H Read third time and passed House (68-Y 28-N)",""
"HB22","02/04/16","H VOTE: PASSAGE (68-Y 28-N)","HV0275"
"HB22","02/05/16","S Constitutional reading dispensed",""
"HB22","02/05/16","S Referred to Committee on Finance",""
"HB22","02/11/16","H Impact statement from TAX (HB22)",""
"HB22","02/17/16","S Reported from Finance (13-Y 0-N)","S05V0162"
"HB22","02/18/16","S Constitutional reading dispensed (40-Y 0-N)","SV0504"
"HB22","02/19/16","S Read third time",""
"HB22","02/19/16","S Passed Senate (35-Y 4-N)","SV0509"
"HB22","02/22/16","H Enrolled",""
"HB22","02/22/16","H Bill text as passed House and Senate (HB22ER)",""
"HB22","02/22/16","H Signed by Speaker",""
"HB22","02/22/16","S Signed by President",""
"HB22","02/22/16","H Enrolled Bill communicated to Governor on 2/22/16",""
"HB22","02/22/16","G Governor's Action Deadline Midnight, February 29, 2016",""
"HB22","02/23/16","H Impact statement from TAX (HB22ER)",""
"HB22","02/29/16","G Approved by Governor-Chapter 50 (effective 7/1/16)",""
"HB22","02/29/16","G Acts of Assembly Chapter text (CHAP0050)",""
"HB23","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100208D",""
"HB23","11/16/15","H Referred to Committee on Finance",""
"HB23","01/26/16","H Assigned Finance sub: Subcommittee #1",""
"HB23","01/26/16","H Impact statement from DPB (HB23)",""
"HB23","01/27/16","H Subcommittee recommends reporting with amendment(s) (6-Y 2-N)","H1001V0006"
"HB23","02/01/16","H Reported from Finance with amendments (16-Y 6-N)","H10V0038"
"HB23","02/02/16","H Read first time",""
"HB23","02/03/16","H Read second time",""
"HB23","02/03/16","H Committee amendments agreed to",""
"HB23","02/03/16","H Engrossed by House as amended HB23E",""
"HB23","02/03/16","H Printed as engrossed 16100208D-E",""
"HB23","02/04/16","H Read third time and passed House (82-Y 15-N 1-A)",""
"HB23","02/04/16","H VOTE: PASSAGE (82-Y 15-N 1-A)","HV0276"
"HB23","02/05/16","S Constitutional reading dispensed",""
"HB23","02/05/16","S Referred to Committee on Finance",""
"HB23","02/08/16","H Impact statement from DPB (HB23E)",""
"HB23","02/16/16","S Reported from Finance (14-Y 0-N)","S05V0151"
"HB23","02/17/16","S Constitutional reading dispensed (40-Y 0-N)","SV0496"
"HB23","02/18/16","S Read third time",""
"HB23","02/18/16","S Passed Senate (40-Y 0-N)","SV0502"
"HB23","02/19/16","H Enrolled",""
